Event,idade_media,idade_min,idade_max,altura_media,altura_min,altura_max,peso_media,peso_min,peso_max,total_atletas
Taekwondo Men's Heavyweight,26.30666666666667,17.0,34.0,191.37333333333333,177.0,207.0,92.24,63.0,110.0,75
Taekwondo Women's Welterweight,24.026666666666667,16.0,36.0,173.65753424657535,165.0,182.0,66.20666666666666,59.0,88.0,75
Taekwondo Women's Heavyweight,23.973333333333333,16.0,34.0,176.82191780821918,152.0,188.0,72.15972222222223,48.0,88.0,75
Taekwondo Women's Flyweight,22.36,16.0,33.0,164.06849315068493,150.0,173.0,49.53333333333333,46.0,57.0,75
Taekwondo Women's Featherweight,23.27027027027027,17.0,36.0,168.6986301369863,154.0,186.0,57.03378378378378,47.0,88.0,74
"Shooting Mixed Running Target, 50 metres",29.54054054054054,18.0,47.0,178.20833333333334,165.0,195.0,78.13194444444444,57.0,120.0,74
Athletics Women's Pentathlon,24.068493150684933,15.0,33.0,174.79166666666666,162.0,190.0,66.125,43.0,78.0,73
"Canoeing Men's Kayak Doubles, 10,000 metres",26.308823529411764,17.0,40.0,177.22222222222223,172.0,183.0,73.66666666666667,68.0,89.0,73
"Athletics Women's 3,000 metres",24.535211267605632,15.0,38.0,165.0857142857143,152.0,182.0,50.67142857142857,43.0,62.0,71
Golf Women's Individual,27.33823529411765,18.0,46.0,168.73333333333332,157.0,183.0,63.43636363636364,48.0,85.0,70
Art Competitions Mixed Painting,40.35849056603774,20.0,68.0,175.0,175.0,175.0,,,,69
Weightlifting Women's Light-Heavyweight,23.647058823529413,16.0,36.0,162.55882352941177,153.0,170.0,68.91911764705883,58.0,87.0,68
"Wrestling Women's Flyweight, Freestyle",24.897058823529413,18.0,36.0,156.01470588235293,147.0,166.0,48.661764705882355,42.0,56.0,68
"Wrestling Women's Middleweight, Freestyle",25.352941176470587,18.0,36.0,165.36764705882354,153.0,175.0,63.47761194029851,58.0,72.0,68
Cycling Women's Team Pursuit,24.955223880597014,18.0,39.0,171.3134328358209,160.0,183.0,63.73134328358209,50.0,78.0,67
Weightlifting Women's Flyweight,24.029850746268657,16.0,43.0,150.53030303030303,141.0,165.0,48.19402985074627,47.0,53.0,67
"Wrestling Women's Lightweight, Freestyle",25.104477611940297,18.0,34.0,162.53731343283582,153.0,177.0,56.88059701492537,55.0,64.0,67
Weightlifting Women's Heavyweight,24.238805970149254,17.0,35.0,165.97014925373134,152.0,177.0,75.3955223880597,67.5,106.0,67
Swimming Men's 10 kilometres Open Water,25.803030303030305,16.0,36.0,182.03076923076924,167.0,205.0,76.75384615384615,55.0,94.0,66
Sailing Mixed 12 metres,34.885245901639344,17.0,58.0,177.0,163.0,185.0,,,,65
Swimming Women's 10 kilometres Open Water,23.96923076923077,16.0,36.0,169.56923076923076,157.0,183.0,60.353846153846156,50.0,75.0,65
Weightlifting Women's Super-Heavyweight,23.53125,15.0,35.0,170.28571428571428,160.0,181.0,108.484375,75.0,167.0,64
